date,verse_title,total_match_indices,score,matches_woodruff,matches_scriptures
"March 27, 1842 ",Doctrine and Covenants 20:73,"[(3748, 457)]",0.8971,the Name of the Father of the Son and of the Holy Ghost,name of the Father and of the Son and of the Holy Ghost Amen
"October 19, 1851 ",Moses 3:9,"[(9084, 722)]",0.89602,tree of knowledge of good Evil in the midst of the garden little,the midst of the garden and also the tree of knowledge of good and evil
"January 1, 1858 ",Doctrine and Covenants 101:90,"[(11980, 539)]",0.89064,wicked and unjust stewards and appoint them their portion with hypocrites and unbelievers,will cut off those wicked unfaithful and unjust stewards and appoint them their portion among hypocrites and unbelievers
"March 10, 1844 ",Malachi 4:6,"[(3849, 178)]",0.88956,to the Fathers lest I come and smite the earth with a curse,the heart of the children to their fathers lest I come and smite the earth with a curse
"March 10, 1844 ",3 Nephi 25:6,"[(3849, 403)]",0.88956,to the Fathers lest I come and smite the earth with a curse,the heart of the children to their fathers lest I come and smite the earth with a curse
"January 13, 1881 ",Doctrine and Covenants 84:92,"[(15475, 520)]",0.88928,cleanse our feet with water pure water whether in heat or in cold,cleanse your feet even with water pure water whether in heat or in
"January 21, 1847 ",Doctrine and Covenants 136:26,"[(7610, 684), (7611, 685), (7612, 686)]",0.88789,make diligent search till thou shalt deliver it to him again Thou shall be diligent in preserving what thou hast that thou mayest be a wise steward for it is the free gift of the Lord thy God and,If thou shalt find that which thy neighbor has lost thou shalt make diligent search till thou shalt deliver it to him again Thou shalt be diligent in preserving what thou hast that thou mayest be a wise steward for it is the free gift of the Lord thy God and thou art his steward
"January 21, 1847 ",Doctrine and Covenants 136:36,"[(7630, 695), (7631, 696), (7632, 697), (7633, 698), (7634, 699), (7635, 700)]",0.88206,they have shed innocent blood which crieth from the ground against them Therefore marvel not at these things for ye are not yet pure thou canst not yet bear my glory but thou shalt behold it if ye are faithful in keeping all my words that I have given you from the days of Abraham Adam to Abraham from Abraham to Moses from Moses to Jesus and the Apostles and from Jesus and his Apostles to Joseph Smith,For they killed the prophets and them that were sent unto them and they have shed innocent blood which crieth from the ground against them Therefore marvel not at these things for ye are not yet pure ye can not yet bear my glory but ye shall behold it if ye are faithful in keeping all my words that I have given you from the days of Adam to Abraham from Abraham to Moses from Moses to Jesus and his apostles and from Jesus and his apostles to Joseph Smith
"October 6, 1891 ",Luke 12:32,"[(15564, 212)]",0.88099,not little flock it is your father's good pleasure to give you the,Fear not little flock for it is your Father's good pleasure to give you the kingdom
"September 5, 1841 ",Doctrine and Covenants 135:6,"[(4684, 649)]",0.88085,the Bible Book of Mormon and book of Doctrine and Covenants Elder W,the Book of Mormon and this book of Doctrine and Covenants of the
"January 21, 1844 ",Doctrine and Covenants 27:9,"[(4897, 472)]",0.87766,hearts of the fathers to the children and the hearts of the children,of turning the hearts of the fathers to the children and the hearts
"March 10, 1844 ",Doctrine and Covenants 27:9,"[(3848, 472)]",0.87766,hearts of the Fathers to the Children and the hearts of the Children,of turning the hearts of the fathers to the children and the hearts
"April 15, 1837 ",Deuteronomy 23:21,"[(561, 54)]",0.87159,Thou shalt labour in the Temple of the Lord thy God Thou shalt,When thou shalt vow a vow unto the Lord thy God thou shalt
"January 21, 1847 ",Doctrine and Covenants 136:28,"[(7614, 687), (7615, 688)]",0.86849,with music with dancing and with a prayer of praise and thanksgiving If thou art sorrowful call on the Lord thy God with supplication that your,If thou art merry praise the Lord with singing with music with dancing and with a prayer of praise and thanksgiving If thou art sorrowful call on the Lord thy God with supplication that your souls may be joyful
"January 13, 1856 ",Doctrine and Covenants 2:2,"[(5380, 436)]",0.86798,Fathers to the children and the hearts of the children to their Fathers,to the fathers and the hearts of the children shall turn to their fathers
"October 19, 1851 ",Genesis 2:9,"[(9084, 2)]",0.86612,tree of knowledge of good Evil in the midst of the garden little,life also in the midst of the garden and the tree of knowledge of good and evil
"January 9, 1894 ",Doctrine and Covenants 56:11,"[(15715, 494)]",0.86533,all be fulfilled And though heaven and earth pass away my words shall,And though the heaven and the earth pass away these words shall not pass away but shall be fulfilled
"February 2, 1851 ",Doctrine and Covenants 128:17,"[(8540, 616)]",0.86417,the children lest I come and smite the whole Earth with a curse,of the children to their fathers lest I come and smite the earth with a curse
"February 23, 1848 ",2 Nephi 2:25,"[(11319, 303)]",0.86358,fell that men might be men are that they may have Joy but,Adam fell that men might be and men are that they might have joy
"September 13, 1846 ",Isaiah 28:13,"[(7488, 116)]",0.86291,precept line upon line here a little and there a little until we,upon precept line upon line line upon line here a little and there
"March 10, 1844 ",Hebrews 6:6,"[(3904, 258)]",0.86232,the son of God afresh and put him to an open frame shame,crucify to themselves the Son of God afresh and put him to an open shame
"January 1, 1877 ",Doctrine and Covenants 109:77,"[(14182, 561)]",0.86103,Hear O Hear us O Lord in these our petitions and answer us,O Lord God Almighty hear us in these our petitions and answer us
"January 21, 1844 ",Doctrine and Covenants 98:16,"[(4897, 535)]",0.8604,hearts of the fathers to the children and the hearts of the children,of the children to their fathers and the hearts of the fathers to the children
"March 10, 1844 ",Doctrine and Covenants 98:16,"[(3848, 535)]",0.8604,hearts of the Fathers to the Children and the hearts of the Children,of the children to their fathers and the hearts of the fathers to the children
"February 12, 1862 ",Doctrine and Covenants 107:54,"[(13606, 550), (13607, 551), (13608, 552)]",0.86022,and blessed Adam OT and called him the Prince Michael the Archangel and the Lord administered comfort unto Adam and said unto him I have set thee to be at the Head a multitude of Nations shall come of,And the Lord appeared unto them and they rose up and blessed Adam and called him Michael the prince the archangel And the Lord administered comfort unto Adam and said unto him I have set thee to be at the head a multitude of nations shall come of thee and thou art a prince over them forever
"January 21, 1847 ",Doctrine and Covenants 136:13,"[(7588, 675), (7589, 676)]",0.85808,Snow organize a company and let my servants Orson Pratt and Wilford Woodr[uff] organize a company Also let my servants Amasa Mason Lyman and George Albert,And let my servants Orson Pratt and Wilford Woodruff organize a company Also let my servants Amasa Lyman and George A Smith organize a company
"August 25, 1844 ",Job 32:8,"[(900, 93)]",0.85782,in man and the inspiration of the Almighty giveth it understanding it is,But there is a spirit in man and the inspiration of the Almighty giveth them understanding
"September 13, 1846 ",2 Nephi 28:30,"[(7488, 329)]",0.85766,precept line upon line here a little and there a little until we,of men line upon line precept upon precept here a little and there
"August 13, 1857 ",Moroni 4:3,"[(11707, 415)]",0.85456,prayer [] O God our Eternal Father we ask thee in the name,O God the Eternal Father we ask thee in the name of thy
"August 13, 1857 ",Moroni 5:2,"[(11707, 421)]",0.85456,prayer [] O God our Eternal Father we ask thee in the name,O God the Eternal Father we ask thee in the name of thy
"August 13, 1857 ",Doctrine and Covenants 20:77,"[(11707, 458)]",0.85456,prayer [] O God our Eternal Father we ask thee in the name,O God the Eternal Father we ask thee in the name of thy
"August 13, 1857 ",Doctrine and Covenants 20:79,"[(11707, 464)]",0.85456,prayer [] O God our Eternal Father we ask thee in the name,O God the Eternal Father we ask thee in the name of thy
"January 1, 1858 ",Doctrine and Covenants 101:89,"[(11978, 537)]",0.85074,out of his hiding place and in his fury he will vex the,come forth out of his hiding place and in his fury vex the nation
"September 9, 1838 ",Jeremiah 31:8,"[(3582, 139)]",0.84801,travaileth with child together and a great company shall return thither I expect,the woman with child and her that travaileth with child together a great company shall return thither
"March 29, 1838 ",Matthew 12:39,"[(2638, 188)]",0.84619,that there should no sign be given but the sign of the Prophet,after a sign and there shall no sign be given to it but the sign of the prophet Jonas
"January 21, 1847 ",Doctrine and Covenants 136:21,"[(7601, 680)]",0.84555,the Lord your God even the God of your Fathers the God of,for I am the Lord your God even the God of your fathers the God of Abraham and of Isaac and of Jacob
"September 13, 1846 ",Isaiah 28:10,"[(7488, 114)]",0.84537,precept line upon line here a little and there a little until we,For precept must be upon precept precept upon precept line upon line line upon line here a little and there a little
"August 27, 1885 ",Doctrine and Covenants 56:11,"[(15341, 494)]",0.84448,Earth Pass away my words shall not pass away but shall all be,And though the heaven and the earth pass away these words shall not pass away but shall be fulfilled
"March 10, 1844 ",Joseph Smith--History 1:39,"[(3848, 742)]",0.84401,hearts of the Fathers to the Children and the hearts of the Children,hearts of the children the promises made to the fathers and the hearts
"January 21, 1844 ",Joseph Smith--History 1:39,"[(4897, 742)]",0.84401,hearts of the fathers to the children and the hearts of the children,hearts of the children the promises made to the fathers and the hearts
"February 26, 1879 ",Doctrine and Covenants 1:38,"[(15033, 432), (15034, 433)]",0.84137,will 13 What I have spoken I have spoken and I excuse not myself And though the Heavens and [Earth] pass away my words will not,What I the Lord have spoken I have spoken and I excuse not myself and though the heavens and the earth pass away my word shall
"February 26, 1879 ",Revelation 14:7,"[(15008, 279)]",0.84131,"""crying with a loud voice fear God and give glory to him for",Saying with a loud voice Fear God and give glory to him for
"January 21, 1847 ",Doctrine and Covenants 136:11,"[(7586, 674)]",0.8404,your flocks and in your herds and in your fields and in your,shall be blessed you shall be blessed in your flocks and in your herds and in your fields and in your houses and in your families
"December 1, 1885 ",Doctrine and Covenants 124:22,"[(15238, 579)]",0.84017,my servant John Taylor 1808 and my servant Wilford Woodruff and my servant,Let my servant George and my servant Lyman and my servant John Snider
October 6 1881 ,Doctrine and Covenants 20:77,"[(15500, 458)]",0.8385,would say 'O God the Eternal Father we ask thee in the name,O God the Eternal Father we ask thee in the name of thy
October 6 1881 ,Moroni 4:3,"[(15500, 415)]",0.8385,would say 'O God the Eternal Father we ask thee in the name,O God the Eternal Father we ask thee in the name of thy
October 6 1881 ,Doctrine and Covenants 20:79,"[(15500, 464)]",0.8385,would say 'O God the Eternal Father we ask thee in the name,O God the Eternal Father we ask thee in the name of thy
October 6 1881 ,Moroni 5:2,"[(15500, 421)]",0.8385,would say 'O God the Eternal Father we ask thee in the name,O God the Eternal Father we ask thee in the name of thy
"December 31, 1840 ",Isaiah 49:23,"[(1757, 121)]",0.83708,Kings that they m[a]y become their nursing fathers and Queens their nursing mothers,And kings shall be thy nursing fathers and their queens thy nursing mothers
"December 31, 1840 ",1 Nephi 21:23,"[(1757, 300)]",0.83708,Kings that they m[a]y become their nursing fathers and Queens their nursing mothers,And kings shall be thy nursing fathers and their queens thy nursing mothers
"December 31, 1840 ",2 Nephi 6:7,"[(1757, 304)]",0.83708,Kings that they m[a]y become their nursing fathers and Queens their nursing mothers,And kings shall be thy nursing fathers and their queens thy nursing mothers
"September 23, 1849 ",Jeremiah 30:21,"[(7857, 132)]",0.83682,Nobles shall be of themselves And their Governor shall procede out of the,And their nobles shall be of themselves and their governor shall proceed from
"December 31, 1837 ",1 Nephi 1:14,"[(1401, 289)]",0.83444,"old ""great and marvelous are thy works ""O LORD GOD ALMIGHTY"" when I",such as Great and marvelous are thy works O Lord God Almighty! Thy
"November 18, 1855 ",Mark 3:15,"[(5839, 197)]",0.83367,have had power to heal the sick and cast out devils open the,And to have power to heal sicknesses and to cast out devils
"June 1, 1843 ",1 Corinthians 16:23,"[(4276, 241)]",0.833,the grace of Jesus Christ our Lord be and abide with you all,The grace of our Lord Jesus Christ be with you
"August 27, 1885 ",Joseph Smith--Matthew 1:35,"[(15341, 734)]",0.83266,Earth Pass away my words shall not pass away but shall all be,Although the days will come that heaven and earth shall pass away yet my words shall not pass away but all shall be fulfilled
"February 26, 1879 ",Doctrine and Covenants 133:31,"[(14970, 641), (14971, 642)]",0.83166,of the everlasting Hills shall tremble at your presence And you shall fall down and be crowned with Glory Even in Zion by the Hands of,And the boundaries of the everlasting hills shall tremble at their presence And there shall they fall down and be crowned with glory even in
"September 7, 1851 ",Doctrine and Covenants 68:9,"[(8772, 506)]",0.8293,is as great a Prophet and he that believeth it may be saved and he that believeth it not will be damned,And he that believeth and is baptized shall be saved and he that believeth not shall be damned
"April 19, 1893 ",Doctrine and Covenants 103:27,"[(15693, 540)]",0.82927,sake for he that layeth down his life for my sake shall find,Let no man be afraid to lay down his life for my sake for whoso layeth down his life for my sake shall find it again
"October 20, 1855 ",Luke 2:11,"[(5873, 205)]",0.82879,"in the City of David A Saviour which is Christ the Lord"" This",For unto you is born this day in the city of David a Saviour which is Christ the Lord
"January 21, 1844 ",Doctrine and Covenants 128:17,"[(4898, 616)]",0.82775,to their fathers lest I come and smite the whole earth with a,of the children to their fathers lest I come and smite the earth with a curse
"March 24, 1844 ",Alma 5:52,"[(4096, 368)]",0.82706,is laid unto the root of the tree and evry tree that bringeth,laid at the root of the tree therefore every tree that bringeth not
"April 30, 1846 ",Psalms 8:4,"[(7152, 94)]",0.82678,is man that thou art mindful of him or the sun of man,What is man that thou art mindful of him and the son of man that thou visitest him
"December 1, 1885 ",Doctrine and Covenants 118:6,"[(15238, 572)]",0.82593,my servant John Taylor 1808 and my servant Wilford Woodruff and my servant,Let my servant John Taylor and also my servant John E Page and
"September 10, 1843 ",Jeremiah 31:6,"[(5152, 136)]",0.8256,might cry arise ye and let us go up unto zion the city,shall cry Arise ye and let us go up to Zion unto the Lord our God
"February 12, 1862 ",Doctrine and Covenants 107:56,"[(13611, 554)]",0.82421,age being full of the Holy Ghost predicted whatsoever should befall his posterity,was bowed down with age being full of the Holy Ghost predicted whatsoever should befall his posterity unto the latest generation
"January 4, 1852 ",Doctrine and Covenants 64:10,"[(9406, 503)]",0.82231,forgive ^it^ for I cannot if the Lord will forgive you I will,I the Lord will forgive whom I will forgive but of you it is required to forgive all men
"September 7, 1851 ",Mormon 9:23,"[(8772, 410)]",0.82219,is as great a Prophet and he that believeth it may be saved and he that believeth it not will be damned,And he that believeth and is baptized shall be saved but he that believeth not shall be damned
"April 19, 1893 ",Doctrine and Covenants 43:26,"[(15695, 485)]",0.82187,the cup of the wrath of mine indignation is full and I will,Behold the day has come when the cup of the wrath of mine indignation is full
"September 10, 1843 ",2 Nephi 21:11,"[(5139, 323)]",0.82134,hand again the second time to recover the remnant of his people assemble,set his hand again the second time to recover the remnant of his
"September 10, 1843 ",Isaiah 11:11,"[(5139, 111)]",0.82134,hand again the second time to recover the remnant of his people assemble,set his hand again the second time to recover the remnant of his
"February 2, 1851 ",3 Nephi 25:6,"[(8540, 403)]",0.82118,the children lest I come and smite the whole Earth with a curse,the heart of the children to their fathers lest I come and smite the earth with a curse
"February 2, 1851 ",Malachi 4:6,"[(8540, 178)]",0.82118,the children lest I come and smite the whole Earth with a curse,the heart of the children to their fathers lest I come and smite the earth with a curse
"September 7, 1851 ",Mark 16:16,"[(8772, 200)]",0.81974,is as great a Prophet and he that believeth it may be saved and he that believeth it not will be damned,He that believeth and is baptized shall be saved but he that believeth not shall be damned
"April 7, 1859 ",Doctrine and Covenants 88:22,"[(12377, 528)]",0.81945,celestial Law and are not able to abide a celestial Glory they will,For he who is not able to abide the law of a celestial kingdom cannot abide a celestial glory
"April 7, 1848 ",3 Nephi 12:25,"[(11384, 397)]",0.81813,ch of math Agree with thine Adversary quickly while thou art in the,Agree with thine adversary quickly while thou art in the way with him
"January 21, 1847 ",Doctrine and Covenants 136:37,"[(7637, 701), (7638, 702)]",0.81598,by mine own voice out of the Heavens to bring forth my work which foundation he did lay and was faithful and I took him to,whom I did call upon by mine angels my ministering servants and by mine own voice out of the heavens to bring forth my work Which foundation he did lay and was faithful and I took him to myself
"August 20, 1843 ",Revelation 16:3,"[(3075, 281)]",0.81326,died in the sea and the third angel poured out his vial upon,And the second angel poured out his vial upon the sea and it
"October 20, 1855 ",Luke 2:10,"[(5871, 204)]",0.81322,them fear not for behold I bring you good tidings of great Joy,And the angel said unto them Fear not for behold I bring you good tidings of great joy which shall be to all people
"February 26, 1879 ",Daniel 3:12,"[(14906, 158)]",0.81321,serve thy Gods men worship the golden Image which thou hast set up,regarded thee they serve not thy gods nor worship the golden image which thou hast set up
"January 21, 1847 ",Doctrine and Covenants 136:3,"[(7566, 660)]",0.81305,Captains of Hundreds Captains of Fifties and Captains of Tens with a President,Let the companies be organized with captains of hundreds captains of fifties and
"December 1, 1885 ",Doctrine and Covenants 124:70,"[(15238, 588)]",0.81173,my servant John Taylor 1808 and my servant Wilford Woodruff and my servant,my servant Lyman Wight and my servant John Snider and my servant Peter
"July 13, 1859 ",Hebrews 11:1,"[(12405, 259)]",0.8116,the substance of things hopede for and the evidence of things ^not seen^hoped,Now faith is the substance of things hoped for the evidence of things not seen
"January 22, 1843 ",Matthew 16:18,"[(2795, 191)]",0.80856,this rock I will build my Church and the gates of hell shall,rock I will build my church and the gates of hell shall not prevail against it
"August 15, 1858 ",3 Nephi 13:10,"[(12171, 399)]",0.80847,will be done here on Earth as it is done in heaven then,Thy will be done on earth as it is in heaven
"January 3, 1838 ",John 15:13,"[(1584, 224)]",0.80773,love hath any man than that he lay down his life for his,Greater love hath no man than this that a man lay down his life for his friends
"April 6, 1873 ",Doctrine and Covenants 136:2,"[(13907, 657)]",0.80695,Christ of Latterday Saints [] Church of Jesus Christ of Latterday Saints Met,Let all the people of The Church of Jesus Christ of Latterday Saints
"April 9, 1852 ",Jude 1:6,"[(10048, 271)]",0.80689,were reserved in everlasting chains of darkness unto the judgment of the great,habitation he hath reserved in everlasting chains under darkness unto the judgment of the great day
"March 10, 1844 ",Doctrine and Covenants 98:16,"[(3858, 535)]",0.80663,to seal the children to the fathers and fathers to the children now,of the children to their fathers and the hearts of the fathers to the children
"September 9, 1843 ",Judges 10:6,"[(1174, 64)]",0.80609,to take away the gods of the gods of the gentiles the Lord,gods of Zidon and the gods of Moab and the gods of the
"March 8, 1857 ",Matthew 7:14,"[(11626, 185)]",0.8048,"""strait is the gate and narrow the way that leadeth unto Eternal life",Because strait is the gate and narrow is the way which leadeth unto life and few there be that find it
"March 8, 1857 ",3 Nephi 14:14,"[(11626, 400)]",0.8048,"""strait is the gate and narrow the way that leadeth unto Eternal life",Because strait is the gate and narrow is the way which leadeth unto life and few there be that find it
"February 25, 1858 ",Joseph Smith--History 1:65,"[(12115, 750)]",0.80433,in money I took it out of my pocket and gave it to,it out of my pocket and gave it to him when he took
"November 2, 1858 ",Ecclesiastes 4:13,"[(12200, 99)]",0.8038,that a wise child was Better than an old and foolish king I,Better is a poor and a wise child than an old and foolish king who will no more be admonished
"August 20, 1843 ",Revelation 16:6,"[(3078, 283)]",0.80345,blood of Saints and Prophets and thou hast given them blood to drink,For they have shed the blood of saints and prophets and thou hast given them blood to drink for they are worthy
"January 13, 1841 ",Moroni 10:4,"[(2677, 428)]",0.80331,I ask God the Eternal Father in the name of Jesus Christ to,would ask God the Eternal Father in the name of Christ if these
"April 4, 1896 ",Doctrine and Covenants 105:15,"[(15628, 548)]",0.80105,not many years hence they shall not be left to pollute my heritage,enemies and not many years hence they shall not be left to pollute
"October 19, 1883 ",Exodus 19:6,"[(15104, 24)]",0.80056,"""ye shall be unto me a kingdom of Priests"" W Woodruff spoke 20",And ye shall be unto me a kingdom of priests and an holy
"July 9, 1884 ",Doctrine and Covenants 112:14,"[(15276, 567)]",0.80012,you And what I the Lord say unto you mine Apostles I say,Now I say unto you and what I say unto you I say
"December 31, 1861 ",Doctrine and Covenants 135:6,"[(12666, 649)]",0.79873,in the Book of Mormon and Doctrine and Covenants He has said that,the Book of Mormon and this book of Doctrine and Covenants of the
"February 26, 1879 ",Doctrine and Covenants 133:28,"[(14967, 639), (14968, 640)]",0.79812,the midst of the Great Deep Their Enemies shall become a prey unto them Bring forth your Records and Rich treasures unto three children of Ephraim,Their enemies shall become a prey unto them And they shall bring forth their rich treasures unto the children of Ephraim my servants
"April 15, 1837 ",Deuteronomy 4:29,"[(561, 40)]",0.79685,Thou shalt labour in the Temple of the Lord thy God Thou shalt,But if from thence thou shalt seek the Lord thy God thou shalt
"March 11, 1859 ",Alma 50:22,"[(12359, 380)]",0.7947,their Generation I said those who were faithful in keeping the commandments of,And those who were faithful in keeping the commandments of the Lord were
"December 4, 1853 ",Matthew 7:1,"[(11020, 184)]",0.79309,from this text Judge not that ye be not Judged He gave much,Judge not that ye be not judged
"September 15, 1872 ",Revelation 10:10,"[(6999, 278)]",0.7926,"my mouth sweet as Honey but in my belly it was bitter"" He",it up and it was in my mouth sweet as honey and as soon as I had eaten it my belly was bitter
"November 11, 1855 ",Matthew 6:10,"[(5794, 183)]",0.79249,"thy will be done on Earth as it is done in heaven[""] was",Thy kingdom come Thy will be done in earth as it is in heaven
"January 13, 1856 ",3 Nephi 25:5,"[(5378, 401)]",0.79244,will send you Elijah the prophet before the coming of the great and,Behold I will send you Elijah the prophet before the coming of the great and dreadful day of the Lord
"January 13, 1856 ",Malachi 4:5,"[(5378, 176)]",0.79244,will send you Elijah the prophet before the coming of the great and,Behold I will send you Elijah the prophet before the coming of the great and dreadful day of the Lord
"April 7, 1848 ",Matthew 5:25,"[(11384, 181)]",0.79228,ch of math Agree with thine Adversary quickly while thou art in the,Agree with thine adversary quickly whiles thou art in the way with him
"January 30, 1853 ",Numbers 32:33,"[(10880, 36)]",0.79035,the kingdom of the Kingdom of God and the priesthood and Kingdom of,of Joseph the kingdom of Sihon king of the Amorites and the kingdom
"December 1, 1885 ",Doctrine and Covenants 103:30,"[(15238, 541)]",0.78997,my servant John Taylor 1808 and my servant Wilford Woodruff and my servant,It is my will that my servant Parley P Pratt and my servant
"January 21, 1847 ",Doctrine and Covenants 136:40,"[(7642, 703), (7643, 704)]",0.78908,your enemies only in that I have left a witness of my name Now therefore harken O ye people of my church and ye Elders listen,Have I not delivered you from your enemies only in that I have left a witness of my name Now therefore hearken O ye people of my church and ye elders listen together you have received my kingdom
"January 1, 1877 ",Doctrine and Covenants 133:28,"[(14170, 639)]",0.78898,at their Presence and their Enemies become a prey unto them May they,Their enemies shall become a prey unto them
