phrase_woodruff,phrase_scripture,similarity_score,verse_title,volume_title
heaven and earth pass away my words shall not pass away but shall be fulfilled,and though the heaven and the earth pass away these words shall not pass away but shall be fulfilled,0.9348278201513309,Doctrine and Covenants 56:11,Doctrine and Covenants
the saints and the beloved city and fire came down from heaven and devoured them,the saints about and the beloved city and fire came down from god out of heaven and devoured them,0.9331481669964189,Revelation 20:9,New Testament
"full of the holy ghost predicted whatsoever should befall his posterity unto the latest generation""",down with age being full of the holy ghost predicted whatsoever should befall his posterity unto the latest generation,0.9325722316981934,Doctrine and Covenants 107:56,Doctrine and Covenants
"saying ""ye are my friends if ye do whatsoever i command you[""] the house was",ye are my friends if ye do whatsoever i command you,0.9312199903463889,John 15:14,New Testament
it is better to go to the house of mourning than to the house of,it is better to go to the house of mourning than to go to the,0.9294489333646716,Ecclesiastes 7:2,Old Testament
the eternal father we ask thee in the name of thy son jesus christ to,o god the eternal father we ask thee in the name of thy son jesus,0.9286987230246472,Doctrine and Covenants 20:77,Doctrine and Covenants
the eternal father we ask thee in the name of thy son jesus christ to,o god the eternal father we ask thee in the name of thy son jesus,0.9286987230246472,Doctrine and Covenants 20:79,Doctrine and Covenants
the eternal father we ask thee in the name of thy son jesus christ to,o god the eternal father we ask thee in the name of thy son jesus,0.9286987230246472,Moroni 5:2,Book of Mormon
the eternal father we ask thee in the name of thy son jesus christ to,o god the eternal father we ask thee in the name of thy son jesus,0.9286987230246472,Moroni 4:3,Book of Mormon
turn the hearts of the fathers to the children and the hearts of the children,to turn the hearts of the fathers to the children and the children to the,0.928359790327022,Doctrine and Covenants 110:15,Doctrine and Covenants
apostle said we have precept upon precept line upon line here a little and there,for precept must be upon precept precept upon precept line upon line line upon line here a little and there a little,0.9278276219420409,Isaiah 28:10,Old Testament
says therefore shall her plagues come in one day death and mourning and famine and,therefore shall her plagues come in one day death and mourning and famine and she,0.9262042589609316,Revelation 18:8,New Testament
we have a more sure word of prophecy where unto ye do well that ye,we have also a more sure word of prophecy whereunto ye do well that ye,0.9257110674464523,2 Peter 1:19,New Testament
ye do this with a pure heart in all faithfulness ye shall be blessed you,and if ye do this with a pure heart in all faithfulness ye shall be,0.925279449823681,Doctrine and Covenants 136:11,Doctrine and Covenants
turn the hearts of the children to their fathers and the fathers to the children,fathers and the hearts of the children shall turn to their fathers,0.9240623844261485,Doctrine and Covenants 2:2,Doctrine and Covenants
people to the place where the lord shall locate a stake of zion and if,place where the lord shall locate a stake of zion,0.9237278765987735,Doctrine and Covenants 136:10,Doctrine and Covenants
will 13 what i have spoken i have spoken and i excuse not myself and,what i the lord have spoken i have spoken and i excuse not myself and,0.9234744032709148,Doctrine and Covenants 1:38,Doctrine and Covenants
turn the hearts of the children to their fathers and the fathers to the children,to turn the hearts of the fathers to the children and the children to the,0.9234200772803772,Doctrine and Covenants 110:15,Doctrine and Covenants
i will build my church and th[e] gates of hell shall not prevail against it,will build my church and the gates of hell shall not prevail against it,0.9230901198708817,Matthew 16:18,New Testament
that it is a son for unto us a child is born unto us a,for unto us a child is born unto us a son is given and the,0.9201174280105723,2 Nephi 19:6,Book of Mormon
that it is a son for unto us a child is born unto us a,for unto us a child is born unto us a son is given and the,0.9201174280105723,Isaiah 9:6,Old Testament
"before the coming of the great and dreadful day of the lord"" ""and he shall",before the coming of the great and dreadful day of the lord,0.9191384022581611,Doctrine and Covenants 2:1,Doctrine and Covenants
that layeth down his life for my sake shall find it again and have eternal,layeth down his life for my sake shall find it again,0.9149472049315727,Doctrine and Covenants 103:27,Doctrine and Covenants
my servants that have been appointed go and teach this my will to the saints,and let my servants that have been appointed go and teach this my will to,0.9148300300226127,Doctrine and Covenants 136:16,Doctrine and Covenants
"had ""adam fell that men might be men are that they may have joy but",adam fell that men might be and men are that they might have joy,0.911256035665803,2 Nephi 2:25,Book of Mormon
is the free gift of the lord thy god and thou art his steward if,steward for it is the free gift of the lord thy god and thou art his steward,0.9103235711720301,Doctrine and Covenants 136:27,Doctrine and Covenants
upon that there should no sign be given but the sign of the prophet jonas,sign and there shall no sign be given to it but the sign of the prophet jonas,0.9099636745300269,Matthew 12:39,New Testament
apostle said we have precept upon precept line upon line here a little and there,line upon line precept upon precept here a little and there a little and blessed,0.9094381196111511,2 Nephi 28:30,Book of Mormon
and your enemies triumph over you so no more at present amen and amen friday,fail you and your enemies triumph over you so no more at present amen and amen,0.9089461489830731,Doctrine and Covenants 136:42,Doctrine and Covenants
shall be blessed in your flocks and in your herds and in your fields and,blessed you shall be blessed in your flocks and in your herds and in your,0.9065039937202496,Doctrine and Covenants 136:11,Doctrine and Covenants
with them be organized into companies with a covenant and promise to keep all the,who journey with them be organized into companies with a covenant and promise to keep,0.9064626038452303,Doctrine and Covenants 136:2,Doctrine and Covenants
"born this day in the city of david a saviour which is christ the lord""",for unto you is born this day in the city of david a saviour which is christ the lord,0.902116730888428,Luke 2:11,New Testament
ye and keep all your pledges one with another and covet not that which is,seek ye and keep all your pledges one with another and covet not that which is thy brother's,0.9020559135841643,Doctrine and Covenants 136:20,Doctrine and Covenants
the wicked and unjust stewards and appoint them their portion with hypocrites and unbelievers let,off those wicked unfaithful and unjust stewards and appoint them their portion among hypocrites and unbelievers,0.901663387828957,Doctrine and Covenants 101:90,Doctrine and Covenants
thou art merry praise the lord with singing with music with dancing and with a,if thou art merry praise the lord with singing with music with dancing and with a prayer of praise and thanksgiving,0.8993633812774368,Doctrine and Covenants 136:28,Doctrine and Covenants
the spirit and power of god and the gift of the holy ghost that they,power of god and the gift of the holy ghost!,0.8976646995359775,2 Nephi 28:26,Book of Mormon
feasting for that is the end of all men and the living will lay it,house of feasting for that is the end of all men and the living will lay it to his heart,0.8961229528934526,Ecclesiastes 7:2,Old Testament
company also let my servants amasa mason lyman and george albert smith organize a company,also let my servants amasa lyman and george a smith organize a company,0.896111204592068,Doctrine and Covenants 136:14,Doctrine and Covenants
against this people let each company prepare houses and fields for raising grain for those,let each company prepare houses and fields for raising grain for those who are to,0.8954209495540019,Doctrine and Covenants 136:9,Doctrine and Covenants
evening 4 man be afraid to lay down his life for my sake for he,let no man be afraid to lay down his life for my sake for whoso,0.8896124342246821,Doctrine and Covenants 103:27,Doctrine and Covenants
prophets and thou hast given them blood to drink for they are worthy 6 v,for they have shed the blood of saints and prophets and thou hast given them blood to drink for they are worthy,0.8835061661229675,Revelation 16:6,New Testament
word of god and tasted of the powers of the world to come if they,and have tasted the good word of god and the powers of the world to come,0.8828386627018794,Hebrews 6:5,New Testament
for the word of god and testimony of jesus christ and the wicked of this,word of god and for the testimony of jesus christ,0.8758924997393936,Revelation 1:9,New Testament
though the heavens and [earth] pass away my words will not pass away but but,though the heavens and the earth pass away my word shall not pass away but,0.8750001876117911,Doctrine and Covenants 1:38,Doctrine and Covenants
diligent in preserving what thou hast that thou mayest be a wise steward for it,thou shalt be diligent in preserving what thou hast that thou mayest be a wise,0.8726912834383649,Doctrine and Covenants 136:27,Doctrine and Covenants
the lamanites shall blossom as the rose in the wilderness now we know that this,wilderness and the lamanites shall blossom as the rose,0.8724485147501682,Doctrine and Covenants 49:24,Doctrine and Covenants
"to their fathers lest i come and smite the earth with a curse"" abram received",the children to their fathers lest i come and smite the earth with a curse,0.8695976763324127,Doctrine and Covenants 128:17,Doctrine and Covenants
the lord gave and the lord hath taken away and blessed be the name of,thither the lord gave and the lord hath taken away blessed be the name of the lord,0.8681897185280417,Job 1:21,Old Testament
"to their fathers lest i come and smite the earth with a curse"" abram received",of the children to their fathers lest i come and smite the earth with a curse,0.8652991605935103,Malachi 4:6,Old Testament
"to their fathers lest i come and smite the earth with a curse"" abram received",of the children to their fathers lest i come and smite the earth with a curse,0.8652991605935103,3 Nephi 25:6,Book of Mormon
ground against them therefore marvel not at these things for ye are not yet pure,therefore marvel not at these things for ye are not yet pure ye can not,0.863171430589033,Doctrine and Covenants 136:37,Doctrine and Covenants
lord concerning the camp of israel in their journeyings to the west let all the,the word and will of the lord concerning the camp of israel in their journeyings to the west,0.8593153570078936,Doctrine and Covenants 136:1,Doctrine and Covenants
hen gathereth her chickens under her wings but they would not god and angels dont,a hen gathereth her chickens under her wings but ye would not!,0.8592013016686182,Doctrine and Covenants 43:24,Doctrine and Covenants
"before the coming of the great and dreadful day of the lord"" ""and he shall",the prophet before the coming of the great and dreadful day of the lord and,0.858719863096194,Doctrine and Covenants 128:17,Doctrine and Covenants
not forgive ^it^ for i cannot if the lord will forgive you i will forgive,i the lord will forgive whom i will forgive but of you it is required to forgive all men,0.8580540456254222,Doctrine and Covenants 64:10,Doctrine and Covenants
presence and you shall fall down and be crowned with glory even in zion by,and there shall they fall down and be crowned with glory even in zion by,0.8550851918096961,Doctrine and Covenants 133:32,Doctrine and Covenants
of heavens and that the powers of heaven cannot be controlled nor handled only upon,that the powers of heaven cannot be controlled nor handled only upon the principles of righteousness,0.8546039769568663,Doctrine and Covenants 121:36,Doctrine and Covenants
earth pass away my words shall not pass away but shall all be fulfilled saith,heaven and earth shall pass away but my words shall not pass away,0.8532057920233178,Mark 13:31,New Testament
earth pass away my words shall not pass away but shall all be fulfilled saith,heaven and earth shall pass away but my words shall not pass away,0.8532057920233178,Matthew 24:35,New Testament
earth pass away my words shall not pass away but shall all be fulfilled saith,heaven and earth shall pass away but my words shall not pass away,0.8532057920233178,Luke 21:33,New Testament
to heaven to keep all the commandments and statutes of the lord our god and,all the commandments and statutes of the lord our god,0.850360749182798,Doctrine and Covenants 136:2,Doctrine and Covenants
time time and if any man shall seek to build up himself and seeketh not,and if any man shall seek to build up himself and seeketh not my counsel,0.8499415519951735,Doctrine and Covenants 136:19,Doctrine and Covenants
earth pass away my words shall not pass away but shall all be fulfilled saith,and though the heaven and the earth pass away these words shall not pass away but shall be fulfilled,0.8476386961465676,Doctrine and Covenants 56:11,Doctrine and Covenants
my servant john taylor 1808 and my servant wilford woodruff and my servant orson pratt,let my servant orson hyde journey with my servant orson pratt whithersoever my servant joseph,0.8457493306008945,Doctrine and Covenants 103:40,Doctrine and Covenants
that layeth down his life for my sake shall find it again and have eternal,and whoso layeth down his life in my cause for my name's sake shall find it again even life eternal,0.8448411810029633,Doctrine and Covenants 98:13,Doctrine and Covenants
on the north west and 7 on the south east one on the south the,yea on the north and on the south on the east and on the west,0.8433544733580904,Mosiah 27:6,Book of Mormon
at the coming of the son of man what are the signs of the times,the signs of the coming of the son of man,0.843098224939159,Doctrine and Covenants 68:11,Doctrine and Covenants
when their prophets shall smite the rocks and the mountains of ice shall flow down,shall smite the rocks and the ice shall flow down at their presence,0.8419442695834227,Doctrine and Covenants 133:26,Doctrine and Covenants
we will not serve thy gods men worship the golden image which thou hast set,not thy gods nor worship the golden image which thou hast set up,0.8406060821479164,Daniel 3:12,Old Testament
who are to remain behind this season and this is the will of the lord,remain behind this season and this is the will of the lord concerning his people,0.840603799610576,Doctrine and Covenants 136:9,Doctrine and Covenants
"shall they that have riches enter into the kingdom of god"" for while one and",that have riches enter into the kingdom of god!,0.8402279963170383,Luke 18:24,New Testament
earth pass away my words shall not pass away but shall all be fulfilled saith,shall not pass away but all shall be fulfilled,0.8387235819457117,Joseph Smith--Matthew 1:35,Pearl of Great Price
spirit of inspiration the power of god and the gift of the holy ghost the,power of god and the gift of the holy ghost!,0.8379408952489722,2 Nephi 28:26,Book of Mormon
so with jesus he said my god my god why hast thou forsaken me in,sabachthani that is to say my god my god why hast thou forsaken me,0.8377035177953848,Matthew 27:46,New Testament
upon that there should no sign be given but the sign of the prophet jonas,evil generation they seek a sign and there shall no sign be given it but the sign of jonas the prophet,0.833664660881224,Luke 11:29,New Testament
heaven and earth pass away my words shall not pass away but shall be fulfilled,shall not pass away but all shall be fulfilled,0.8329142670523734,Joseph Smith--Matthew 1:35,Pearl of Great Price
edeyfing one another if thou borrowest of thy neighbor thou shalt restore that which thou,if thou borrowest of thy neighbor thou shalt restore that which thou hast borrowed and,0.832901513644172,Doctrine and Covenants 136:25,Doctrine and Covenants
in 1838 for the word of god and the testimony of jesus christ he was,word of god and for the testimony of jesus christ,0.8294635293762164,Revelation 1:9,New Testament
that they may be ready to go to a land of peace go thy way,the saints that they may be ready to go to a land of peace,0.8286596410925743,Doctrine and Covenants 136:16,Doctrine and Covenants
and received the gift of the holy ghost by the laying on of hands according,sins the gift of the holy ghost by the laying on of hands,0.8272095057845787,Doctrine and Covenants 138:33,Doctrine and Covenants
we will not serve thy gods men worship the golden image which thou hast set,thy gods nor worship the golden image which thou hast set up,0.8271604317779678,Daniel 3:18,Old Testament
"the following words ""there remaineth therefore a rest for the people of god"" after he",there remaineth therefore a rest to the people of god,0.8267448242674549,Hebrews 4:9,New Testament
cease to speak evil one of another cease drunkenness and let your words tend to,cease drunkenness and let your words tend to edifying one another,0.8244874877055047,Doctrine and Covenants 136:24,Doctrine and Covenants
even to be a prophet seer and revelator in the church and kingdom of god,church to be a translator a revelator a seer and prophet,0.8216520786622359,Doctrine and Covenants 124:125,Doctrine and Covenants
"shall they that have riches enter into the kingdom of god"" for while one and",have riches enter into the kingdom of god!,0.8201942811756733,Mark 10:23,New Testament
god inspired by the power of god and the gift of the holy ghost such,power of god and the gift of the holy ghost!,0.8195390953624994,2 Nephi 28:26,Book of Mormon
hundred and forty four thousand sealed out of the twelve tribes of israel also spoke,hundred and forty and four thousand of all the tribes of the children of israel,0.8189499771467316,Revelation 7:4,New Testament
into the world and men love darkness rather than light because their deeds are evil,darkness rather than light because their deeds were evil,0.8179313457749579,John 3:19,New Testament
the ax is laid unto the root of the tree and evry tree that bringeth,the ax is laid at the root of the trees and every tree that bringeth,0.8176182971901682,Doctrine and Covenants 97:7,Doctrine and Covenants
son of god afresh and put him to an open frame shame so their is,themselves the son of god afresh and put him to an open shame,0.8170577243542425,Hebrews 6:6,New Testament
will arise out of his hiding place and in his fury he will vex the,out of his hiding place and in his fury vex the nation,0.8151924764519628,Doctrine and Covenants 101:89,Doctrine and Covenants
the hearts of the children to the fathers lest i come and smite the earth,of the children to their fathers lest i come and smite the earth with a curse,0.8148157214003855,3 Nephi 25:6,Book of Mormon
the hearts of the children to the fathers lest i come and smite the earth,of the children to their fathers lest i come and smite the earth with a curse,0.8148157214003855,Malachi 4:6,Old Testament
so with jesus he said my god my god why hast thou forsaken me in,my god my god why hast thou forsaken me why art thou so far from,0.8129661702871658,Psalms 22:1,Old Testament
man and woman had a head the presidency of the church is the head of,the head of the woman is the man and the head of christ is god,0.8128727041412946,1 Corinthians 11:3,New Testament
turn the hearts of the children to their fathers and the fathers to the children,the hearts of the fathers to the children and the hearts of the children to,0.812169888078321,Doctrine and Covenants 27:9,Doctrine and Covenants
lord come and he shall turn the hearts of the fathers to the children and,fathers and the hearts of the children shall turn to their fathers,0.8121146116652233,Doctrine and Covenants 2:2,Doctrine and Covenants
unto us a child is given! unto us a daughter is born phebe whittemore carter,for unto us a child is born unto us a son is given and the,0.810616428766788,2 Nephi 19:6,Book of Mormon
unto us a child is given! unto us a daughter is born phebe whittemore carter,for unto us a child is born unto us a son is given and the,0.810616428766788,Isaiah 9:6,Old Testament
out devils open the eyes of the blind unstop the ears of the deaf cause,in my name they shall open the eyes of the blind and unstop the ears of the deaf,0.8106159380871846,Doctrine and Covenants 84:69,Doctrine and Covenants
the hearts of the children to the fathers lest i come and smite the earth,the children to their fathers lest i come and smite the earth with a curse,0.8087078545909153,Doctrine and Covenants 128:17,Doctrine and Covenants
and do as i have told you and fear not thine enemies for they shall,go thy way and do as i have told you and fear not thine enemies,0.8083000685486633,Doctrine and Covenants 136:17,Doctrine and Covenants
calling and the gift of the holy ghost ^and power^ of the holy ghost agreeable,power of god and the gift of the holy ghost!,0.8080474966795491,2 Nephi 28:26,Book of Mormon
the gift of the holy ghost and in no other way is the gift of,the gift of preaching and the gift of the holy ghost and the gift of translation,0.8074197148122112,Alma 9:21,Book of Mormon
to take a prey and to take a spoil which they will do for the,will i give him a charge to take the spoil and to take the prey,0.807215320392926,2 Nephi 20:6,Book of Mormon
to take a prey and to take a spoil which they will do for the,will i give him a charge to take the spoil and to take the prey,0.807215320392926,Isaiah 10:6,Old Testament
of things jacob shall flourish in the wilderness the lamanites shall blossom as the rose,wilderness and the lamanites shall blossom as the rose,0.8064317415035359,Doctrine and Covenants 49:24,Doctrine and Covenants
to seal the fathers to their children the children to their fathers and to assist,children to their fathers and the hearts of the fathers to the children,0.806147214477072,Doctrine and Covenants 98:16,Doctrine and Covenants
ch of math agree with thine adversary quickly while thou art in the way with,agree with thine adversary quickly while thou art in the way with him lest at,0.8055393799089492,3 Nephi 12:25,Book of Mormon
learn or comprehend that the rights of the priesthood are inseparably connected with the powers,that the rights of the priesthood are inseparably connected with the powers of heaven and,0.8048900113511971,Doctrine and Covenants 121:36,Doctrine and Covenants
and son wilford woodruff jr and his son wilford smith woodruff and his son charles,son and zichri his son and shelomith his son,0.8046097082124879,1 Chronicles 26:25,Old Testament
my son thou hast spoken well i have all thou hast said in my heart,thou hast ravished my heart my sister my spouse thou hast ravished my heart with,0.8043066238348775,Song of Solomon 4:9,Old Testament
"the text ""what is man that thou art mindful of him"" it was one of",what is man that thou art mindful of him and the son of man that thou visitest him,0.8030801448984363,Psalms 8:4,Old Testament
he may see and his ears opened that he may hear for my spirit is,his god that his eyes may be opened that he may see and his ears opened that he may hear,0.8028839908957156,Doctrine and Covenants 136:32,Doctrine and Covenants
of hundreds captains of fifties and captains of tens with a president and his two,let the companies be organized with captains of hundreds captains of fifties and captains of,0.8028319814944895,Doctrine and Covenants 136:3,Doctrine and Covenants
the power of god and the gift of the holy ghost until they have gatherd,power of god and the gift of the holy ghost!,0.8020388790168413,2 Nephi 28:26,Book of Mormon
the order of aaron ot holds the priesthood keys of the ministering of angels will,aaron which holds the keys of the ministering of angels and of the gospel of,0.801526317255766,Joseph Smith--History 1:69,Pearl of Great Price
the order of aaron ot holds the priesthood keys of the ministering of angels will,aaron which holds the keys of the ministering of angels and of the gospel of,0.801526317255766,Doctrine and Covenants 13:1,Doctrine and Covenants
1808 and my servant wilford woodruff and my servant orson pratt and to all the,let my servant orson hyde journey with my servant orson pratt whithersoever my servant joseph,0.8006680924435595,Doctrine and Covenants 103:40,Doctrine and Covenants
be saved in the day of the lord jesus they were sealed by the spirit,spirit may be saved in the day of the lord jesus,0.8005976257157328,1 Corinthians 5:5,New Testament
the children and the hearts of the children to their fathers lest i come and,children to their fathers and the hearts of the fathers to the children,0.7999645117105098,Doctrine and Covenants 98:16,Doctrine and Covenants
[figure] o god our eternal father we ask thee in the name of jesus christ,o god the eternal father we ask thee in the name of thy son jesus,0.7999637986329441,Doctrine and Covenants 20:79,Doctrine and Covenants
[figure] o god our eternal father we ask thee in the name of jesus christ,o god the eternal father we ask thee in the name of thy son jesus,0.7999637986329441,Moroni 5:2,Book of Mormon
[figure] o god our eternal father we ask thee in the name of jesus christ,o god the eternal father we ask thee in the name of thy son jesus,0.7999637986329441,Moroni 4:3,Book of Mormon
[figure] o god our eternal father we ask thee in the name of jesus christ,o god the eternal father we ask thee in the name of thy son jesus,0.7999637986329441,Doctrine and Covenants 20:77,Doctrine and Covenants
my servant john taylor 1808 and my servant wilford woodruff and my servant orson pratt,let my servant george and my servant lyman and my servant john snider and others,0.7997866774119842,Doctrine and Covenants 124:22,Doctrine and Covenants
apostle said we have precept upon precept line upon line here a little and there,line precept upon precept here a little and there a little giving us consolation by,0.7981953141997301,Doctrine and Covenants 128:21,Doctrine and Covenants
turn the hearts of the fathers to the children and the hearts of the children,children to their fathers and the hearts of the fathers to the children,0.7976575664983472,Doctrine and Covenants 98:16,Doctrine and Covenants
not have power to stop my work zion shall be redeemed in mine own due,zion shall be redeemed in mine own due time,0.7974798810348948,Doctrine and Covenants 136:18,Doctrine and Covenants
by you will understand and see that all is right wo wo wo unto all,wo wo wo unto this people wo unto the inhabitants of the whole earth except,0.7970475122838303,3 Nephi 9:2,Book of Mormon
at home and abroad the wars perplexities of nations and in the lecture given by,at home things which are abroad the wars and the perplexities of the nations and,0.7951268769623727,Doctrine and Covenants 88:79,Doctrine and Covenants
and son wilford woodruff jr and his son wilford smith woodruff and his son charles,elkanah his son and ebiasaph his son and assir his son,0.793348662447049,1 Chronicles 6:23,Old Testament
you shall be filled with songs of everlasting joy behold this is the blessing of,and they shall be filled with songs of everlasting joy,0.7924258811129484,Doctrine and Covenants 133:33,Doctrine and Covenants
the land of zion and the boundaries of the everlasting hills shall tremble at your,and the boundaries of the everlasting hills shall tremble at their presence,0.7916524889873399,Doctrine and Covenants 133:31,Doctrine and Covenants
through much persecution for the word of god and the testimony of jesus christ in,word of god and for the testimony of jesus christ,0.7914806197119543,Revelation 1:9,New Testament
of hundreds captains of fifties and captains of tens with a president and his two,and appoint presidents and captains of hundreds and of fifties and of tens,0.7910089694619153,Doctrine and Covenants 136:15,Doctrine and Covenants
should pass away my words shall not pass away if a man is born of,heaven and earth shall pass away but my words shall not pass away,0.7907101851501172,Mark 13:31,New Testament
should pass away my words shall not pass away if a man is born of,heaven and earth shall pass away but my words shall not pass away,0.7907101851501172,Luke 21:33,New Testament
should pass away my words shall not pass away if a man is born of,heaven and earth shall pass away but my words shall not pass away,0.7907101851501172,Matthew 24:35,New Testament
"""and there nobles shall be of themselves and their governor shall procede out of the",and their nobles shall be of themselves and their governor shall proceed from the midst,0.7884865588799652,Jeremiah 30:21,Old Testament
enjoyed the spirit and power of god the holy ghost and the gift of eternal,power of god and the gift of the holy ghost!,0.7883252527683805,2 Nephi 28:26,Book of Mormon
shalt make diligent search till thou shalt deliver it to him again thou shall be,till thou shalt deliver it to him again,0.787788476050277,Doctrine and Covenants 136:26,Doctrine and Covenants
of the holy priesthood even to be prophet seer and revelator in the church and,church to be a translator a revelator a seer and prophet,0.7872230298641991,Doctrine and Covenants 124:125,Doctrine and Covenants
be blotted out when the times of refreshing shall come from the presence of the,times of refreshing shall come from the presence of the lord,0.7871662433994676,Acts 3:19,New Testament
and the distructions of my people if the saints will hearken unto my voice and,and if my people will hearken unto my voice and unto the voice of my,0.7869864563202691,Doctrine and Covenants 124:45,Doctrine and Covenants
of the ungodly thy brethren have rejected you and your testimony even the nation that,thy brethren have rejected you and your testimony even the nation that has driven you out,0.7866026891612818,Doctrine and Covenants 136:34,Doctrine and Covenants
from their labours and if their friends are faithful their works will follow them but,from their labours and their works do follow them,0.7861222462845413,Revelation 14:13,New Testament
two divisions one on the right and the other on the left the right hand,him and the malefactors one on the right hand and the other on the left,0.7860702347936743,Luke 23:33,New Testament
that were sent unto them and they have shed innocent blood which crieth from the,shed innocent blood which crieth from the ground against them,0.7859856826411588,Doctrine and Covenants 136:36,Doctrine and Covenants
is the gate and narrow the way that leadeth unto eternal life and few there,because strait is the gate and narrow is the way which leadeth unto life and few there be that find it,0.7856748592278024,3 Nephi 14:14,Book of Mormon
is the gate and narrow the way that leadeth unto eternal life and few there,because strait is the gate and narrow is the way which leadeth unto life and few there be that find it,0.7856748592278024,Matthew 7:14,New Testament
if that sin is not unto death their is a sin unto death which we,if any man see his brother sin a sin which is not unto death he,0.7856389173109878,1 John 5:16,New Testament
of love what greater love hath any man than that he lay down his life,greater love hath no man than this that a man lay down his life for his friends,0.7850346589021492,John 15:13,New Testament
and son wilford woodruff jr and his son wilford smith woodruff and his son charles,tahath his son uriel his son uzziah his son and shaul his son,0.7824271446483807,1 Chronicles 6:24,Old Testament
ch of math agree with thine adversary quickly while thou art in the way with,agree with thine adversary quickly whiles thou art in the way with him lest at,0.7818477150715942,Matthew 5:25,New Testament
the eternal father we ask thee in the name of thy son jesus christ to,and now we ask thee holy father in the name of jesus christ the son,0.7812886534618914,Doctrine and Covenants 109:4,Doctrine and Covenants
ask in the name of jesus christ the son of the living god that the,in the name of jesus christ the son of the living god and if ye,0.7801914643057486,Mormon 9:29,Book of Mormon
abraham adam to abraham from abraham to moses from moses to jesus and the apostles,from abraham to moses from moses to jesus and his apostles and from jesus and,0.7793357000032085,Doctrine and Covenants 136:37,Doctrine and Covenants
turn the hearts of the fathers to the children and the hearts of the children,fathers and the hearts of the children shall turn to their fathers,0.7788954164469589,Doctrine and Covenants 2:2,Doctrine and Covenants
company provide themselves with all the teams waggons provisions clothing and other necessaries for the,let each company provide themselves with all the teams wagons provisions clothing and other necessaries for the journey that they can,0.7788679564424072,Doctrine and Covenants 136:5,Doctrine and Covenants
that the nations of the earth that forget god will be turned into hell but,the wicked shall be turned into hell and all the nations that forget god,0.7781339753154356,Psalms 9:17,Old Testament
lord come and he shall turn the hearts of the fathers to the children and,to turn the hearts of the fathers to the children and the children to the,0.7770435145706073,Doctrine and Covenants 110:15,Doctrine and Covenants
of the great deep their enemies shall become a prey unto them bring forth your,their enemies shall become a prey unto them,0.7766712115566548,Doctrine and Covenants 133:28,Doctrine and Covenants
to take a prey and to take a spoil which they will do for the,and women and to take the spoil of them for a prey,0.7763634219954421,Esther 8:11,Old Testament
spirit of war has been poured out upon all nations and france and other nations,other nations and then war shall be poured out upon all nations,0.7760174850101764,Doctrine and Covenants 87:3,Doctrine and Covenants
ask in the name of jesus christ the son of the living god that the,way of baptism in the name of jesus christ the son of the living god,0.773154153153465,Doctrine and Covenants 55:2,Doctrine and Covenants
and son wilford woodruff jr and his son wilford smith woodruff and his son charles,and rephah was his son also resheph and telah his son and tahan his son,0.772725528993302,1 Chronicles 7:25,Old Testament
let us have compassion on others as we wish god to have compassion on us,and i will have compassion on whom i will have compassion,0.7723696903052641,Romans 9:15,New Testament
